station_code,name,lat,lon,status,rain,rain_mm,date,date_iso,temperature_c,humidity_pct,battery_v,solar_volt_v,icon_filename,image_path
G1001,King Mongkut is Institute of Technology Ladkrabang Prince of Chumphon Campus,10.732066,99.365284,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.2,-3.9,12.7,0.0,raingauge_4.png,FILES/RAINGAUGE/1/1_1_M1 ปะทิว02_๒๐๑๒๒๘_199.jpeg
G1002,Ban Bang Waen Sub-District Health Promoting Hospital,10.89751,99.430524,ONLINE,No Rain,,12/11/2025 13:38 UTC,2025-11-12T13:38:00,25.7,-3.9,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/2/1_2_Station 1002_๒๑๐๔๒๖_0.jpg
G1003,Salui Sub-District Health Promoting Hospital,10.872415,99.24979,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,25.5,93.9,12.4,1.5,raingauge_4.png,FILES/RAINGAUGE/3/1_3_Station 1003_๒๑๐๔๒๖_0.jpg
G1004,Ban Tham Charoen Sub-District Health Promoting Hospital,10.86492,99.114881,TIMEOUT,Pour 38.0 mm,38.0,12/11/2025 09:04 UTC,2025-11-12T09:04:00,29.2,-3.4,10.2,10.8,raingauge_7.png,FILES/RAINGAUGE/4/1_4_Statio 1004_๒๑๐๔๒๖_0.jpg
G1005,Ban Panwan Sub-District Health Promoting Hospital,10.777483,99.004612,TIMEOUT,No Rain,,12/11/2025 13:12 UTC,2025-11-12T13:12:00,25.9,-3.9,11.5,0.0,raingauge_4.png,FILES/RAINGAUGE/5/1_5_Station1005_๒๑๐๔๒๖_0.jpg
G1006,Tha Sae Sub-District Health Promoting Hospital,10.663167,99.19347,ONLINE,Damp 7.2 mm,7.2,12/11/2025 13:40 UTC,2025-11-12T13:40:00,25.8,97.5,12.6,0.0,raingauge_5.png,FILES/RAINGAUGE/6/1_6_Station 1006_๒๑๐๔๒๖_0.jpg
G1007,Ban Wang Mai Sub-District Health Promoting Hospital,10.502423,99.026354,ONLINE,Damp 0.2 mm,0.2,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.7,-3.9,12.1,0.1,raingauge_5.png,FILES/RAINGAUGE/7/1_7_Station1007_๒๑๐๔๒๖_0.jpg
G1008,Bang Mak Sub-District Health Promoting Hospital,10.42585,99.183896,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,25.8,92.6,12.3,0.8,raingauge_4.png,FILES/RAINGAUGE/8/1_8_Station 1008_๒๑๐๔๒๖_0.jpg
G1009,Ban Nam Cha Sub-District Health Promoting Hospital,10.309452,99.023025,TIMEOUT,Damp 1.4 mm,1.4,12/11/2025 12:30 UTC,2025-11-12T12:30:00,25.9,-3.9,10.3,0.0,raingauge_5.png,FILES/RAINGAUGE/9/1_9_Station 1009_๒๑๐๔๒๖_0.jpg
G1010,Chong Mai Kaeo Sub-District Health Promoting Hospital,10.137002,99.054315,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,27.4,-3.9,12.4,0.2,raingauge_4.png,FILES/RAINGAUGE/10/1_10_Station 1010_๒๑๐๔๒๖_0.jpg
G1011,Khao Khai Sub-District Health Promoting Hospital,10.121726,98.896399,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,25.2,96.7,12.5,0.0,raingauge_4.png,FILES/RAINGAUGE/11/1_11_Station1011_๒๑๐๔๒๖_0.jpg
G1012,Na Phaya Health Promoting Hospital,9.89495,99.105081,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,0.0,0.0,13.6,0.7,raingauge_4.png,FILES/RAINGAUGE/12/1_12_169531.jpg
G1013,Ban Nai Hom Sub-District Health Promoting Hospital,9.86925,98.92967,ONLINE,Damp 0.8 mm,0.8,12/11/2025 13:41 UTC,2025-11-12T13:41:00,27.2,-3.9,11.7,0.0,raingauge_5.png,FILES/RAINGAUGE/13/1_13_26.jpg
G1014,Ban Khlong Song Sub-District Health Promoting Hospital,9.74044,98.971332,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,25.4,-3.9,11.1,0.0,raingauge_4.png,FILES/RAINGAUGE/14/1_14_Station1014_๒๑๐๔๒๖_0.jpg
G1015,Lum Laieng Health Promoting Hospital,10.327637,98.774235,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,58.0,100.0,11.8,0.0,raingauge_4.png,FILES/RAINGAUGE/15/1_15_Station1015_๒๑๐๔๒๖_0.jpg
G1016,Sai Daeng Health Promoting Hospital,10.136066,98.689444,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,0.0,0.0,12.1,0.9,raingauge_4.png,FILES/RAINGAUGE/16/1_16_172506.jpg
G1017,Bangrin Town Municipality,9.888354,98.627485,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,25.6,88.9,12.2,0.2,raingauge_4.png,FILES/RAINGAUGE/17/1_17_777.jpg
G1018,Ratchakrut Sub-District Health Promoting Hospital,9.74716,98.596935,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,0.0,0.0,12.5,0.0,raingauge_4.png,FILES/RAINGAUGE/18/1_18_Station1018_๒๑๐๔๒๖_0.jpg
G1019,Ban Khian Ngam Sub-District Health Promoting Hospital,9.536727,98.580808,ONLINE,Moderate Rain  10.8 mm,10.8,12/11/2025 13:40 UTC,2025-11-12T13:40:00,24.9,-4.0,12.4,0.5,raingauge_6.png,FILES/RAINGAUGE/19/1_19_Station1019_๒๑๐๔๒๖_0.jpg
G1020,Phong Prasat Health Promoting Hospital,11.150628,99.481538,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.9,-3.9,12.3,1.4,raingauge_4.png,FILES/RAINGAUGE/20/1_20_444.jpg
G1021,Ban Huai Kai Tor Health Promoting Hospital,11.379658,99.474398,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,25.0,-3.9,12.4,0.0,raingauge_4.png,FILES/RAINGAUGE/21/1_21_555.jpg
G1022,Chang Khwa Sub-District Health Promoting Hospital,9.136295,99.444607,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,27.2,-3.9,12.3,0.0,raingauge_4.png,FILES/RAINGAUGE/22/1_22_Station 1022_๒๑๐๔๒๖_0.jpg
G1023,Khlong Noi  Sub-District Health Promoting Hospital,9.162698,99.266996,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,0.0,0.0,11.4,0.0,raingauge_4.png,FILES/RAINGAUGE/23/1_23_Station 1023_๒๑๐๔๒๖_0.jpg
G1024,Ban Yang Phrong Sub-District Health Promoting Hospital,9.420897,98.925827,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,25.5,94.6,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/24/1_24_Station1024_๒๑๐๔๒๖_0.jpg
G1025,Pa We Sub-District Health Promoting Hospital,9.425665,99.129125,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,25.8,-3.9,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/25/1_25_170196.jpg
G1026,Khlong Pha Sub-District Health Promoting Hospital,9.605583,99.06838,DISCONNECT,///,,///,,,,,,raingauge_9.png,FILES/RAINGAUGE/26/1_26_Station1026_๒๑๐๔๒๖_0.jpg
G1027,Takuk Nuea Sub-District Health Promoting Hospital,9.206438,98.953157,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,26.2,92.5,12.3,0.0,raingauge_4.png,FILES/RAINGAUGE/27/1_27_Station1027_๒๑๐๔๒๖_0.jpg
G1028,Tham Singkhon Sub-District Health Promoting Hospital,9.015625,99.048577,DISCONNECT,///,,///,,,,,,raingauge_9.png,FILES/RAINGAUGE/28/1_28_Station 1028_๒๑๐๔๒๖_0.jpg
G1029,Ban Bang Charoen Sub-District Health Promoting Hospital,11.010548,99.261134,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,24.6,-4.0,12.5,0.0,raingauge_4.png,FILES/RAINGAUGE/29/1_29_Station 1029_๒๑๐๔๒๖_0.jpg
G1030,Ban Sai Thong Sub-District Health Promoting Hospital,11.033109,99.415632,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,26.7,-3.9,11.9,0.0,raingauge_4.png,FILES/RAINGAUGE/30/1_30_Station 1030_๒๑๐๔๒๖_0.jpg
G1031,Thong Mongkon Sub-District Health Promoting Hospital,11.156369,99.386224,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,26.2,-3.9,12.4,0.0,raingauge_4.png,FILES/RAINGAUGE/31/1_31_Station 1031_๒๑๐๔๒๖_0.jpg
G1032,Bang Saphan District Agricultural Extension Office,11.241861,99.480922,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.7,-3.9,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/32/1_32_Station 1032_๒๑๐๔๒๖_0.jpg
G1033,Ban Khlong Loi Sub-District Health Promoting Hospital,11.293193,99.375845,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,25.9,-3.9,12.0,0.0,raingauge_4.png,FILES/RAINGAUGE/33/1_33_Station 1033_๒๑๐๔๒๖_0.jpg
G1034,Ban Tham Khiriwong Sub-District Health Promoting Hospital,11.392272,99.577286,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,25.6,0.0,12.4,1.4,raingauge_4.png,FILES/RAINGAUGE/34/1_34_Station 1034_๒๑๐๔๐๗_0.jpg
G1035,Ban Nong Hoi Sub-District Health Promoting Hospital,11.440851,99.502286,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,26.2,28.7,12.2,0.0,raingauge_4.png,FILES/RAINGAUGE/35/1_35_Station 1035_๒๑๐๔๒๖_0.jpg
G1036,Khao Lan Sub-District Health Promoting Hospital,11.55657,99.554901,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,26.1,91.5,12.4,1.2,raingauge_4.png,FILES/RAINGAUGE/36/1_36_Station 1036_๒๑๐๔๐๗_0.jpg
G1037,Huai Yang Sub-District Health Promoting Hospital,11.607849,99.664461,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,22.4,-3.9,12.2,0.0,raingauge_4.png,FILES/RAINGAUGE/37/1_37_Station1037_๒๑๐๔๐๗_0.jpg
G1038,Khlong Wan Sub-District Health Promoting Hospital,11.736572,99.777494,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,27.7,72.2,11.9,0.0,raingauge_4.png,FILES/RAINGAUGE/38/1_38_Station1038_๒๑๐๔๐๗_0.jpg
G1039,Ban Dan Singkhon Sub-District Health Promoting Hospital,11.778434,99.680244,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,26.3,95.4,12.4,0.0,raingauge_4.png,FILES/RAINGAUGE/39/1_39_Station 1039_๒๑๐๔๐๗_0.jpg
G1040,Nikhom Sang Ton Eng Ko 12 Sub-District Health Promoting Hospital,11.888013,99.711927,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,0.0,0.0,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/40/1_40_Station1040_๒๑๐๖๑๕_0.jpg
G1041,Ban Nong Pulok Sub-District Health Promoting Hospital,12.003709,99.763704,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,0.0,0.0,12.2,0.1,raingauge_4.png,FILES/RAINGAUGE/41/1_41_Station 1041_๒๑๐๔๐๗_0.jpg
G1042,Ban Thung Ko Sub-District Health Promoting Hospital,11.958634,99.831502,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,27.5,90.2,12.4,0.0,raingauge_4.png,FILES/RAINGAUGE/42/1_42_Station 1042_๒๑๐๔๐๗_0.jpg
G1043,Phrakhru Niyuttham Sunthon Sub-District Health Promoting Hospital,12.090716,99.950053,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,28.0,0.0,12.5,0.0,raingauge_4.png,FILES/RAINGAUGE/43/1_43_Station 1043_๒๑๐๔๐๗_0.jpg
G1044,Ban Ruam Thai Sub-District Health Promoting Hospital,12.102008,99.662923,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,30.7,92.9,11.6,0.0,raingauge_4.png,FILES/RAINGAUGE/44/1_44_Station 1044_๒๑๐๔๐๗_0.jpg
G1045,Ban Nong Masang Health Promoting Hospital,12.071074,99.818575,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,0.0,0.0,12.5,0.2,raingauge_4.png,FILES/RAINGAUGE/45/1_45_Station 1045_๒๑๐๔๐๗_0.jpg
G1046,Ban Nong Kae Sub-District Health Promoting Hospital,12.21006,99.794235,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,26.3,-3.9,11.7,0.0,raingauge_4.png,FILES/RAINGAUGE/46/1_46_Station1046_๒๑๐๔๐๗_0.jpg
G1047,Ban Nong Ta Muang Sub-District Health Promoting Hospital,12.355327,99.842783,ONLINE,No Rain,,12/11/2025 13:43 UTC,2025-11-12T13:43:00,25.8,92.9,12.9,0.0,raingauge_4.png,FILES/RAINGAUGE/47/1_47_Station 1047_๒๑๐๔๐๗_1.jpg
G1048,Ban Khao Chao Sub-District Health Promoting Hospital,12.364396,99.693555,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,25.5,94.0,12.0,0.0,raingauge_4.png,FILES/RAINGAUGE/48/1_48_Station1048_๒๑๐๔๐๗_0.jpg
G1049,Ban Phraek Takhro Sub-District Health Promoting Hospital,12.359382,99.601047,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,25.4,92.7,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/49/1_49_Station1049_๒๑๐๔๐๗_0.jpg
G1050,Pranburi Operation and Maintenance Project,12.470281,99.794406,TIMEOUT,No Rain,,12/11/2025 09:37 UTC,2025-11-12T09:37:00,35.1,61.1,11.9,12.8,raingauge_4.png,FILES/RAINGAUGE/50/1_50_2021-06-15_15-56-21.jpg
G1099,Test Stationa,10.964613,99.433646,DISCONNECT,///,,///,,,,,,raingauge_9.png,
